"method","rank","sd_noise","coh","mean_sec","median_sec","sd_sec","n_rep"
"RGD",15,0,0.9,45.69495,32.727,27.2186824567535,20
"RGN",15,0,0.9,835.5554,504.7775,537.337159129056,20
"CP-ALS",15,0.5,0,75.82615,64.192,24.8139640467451,20
"RGD",15,0.5,0,32.60045,21.52,23.0148735374483,20
"RGN",15,0.5,0,610.18845,406.7865,456.585970358552,20
"CP-ALS",15,0.5,0.2,71.9335,63.4225,22.129585225737,20
"RGD",15,0.5,0.2,30.20855,23.2505,20.0888371869475,20
"RGN",15,0.5,0.2,561.6601,423.452,403.496715747007,20
"CP-ALS",15,0.5,0.5,80.89725,64.8265,30.0105653446021,20
"RGD",15,0.5,0.5,38.1572,23.5365,27.1811021766381,20
"RGN",15,0.5,0.5,724.36585,470.948,527.503365544891,20
"CP-ALS",15,0.5,0.9,78.86435,64.933,27.1661971657794,20
"RGD",15,0.5,0.9,34.94715,22.431,25.1905252787317,20
"RGN",15,0.5,0.9,655,397.688,500.310513601093,20
"CP-ALS",15,1,0,67.6108,61.4815,19.5048971626696,20
"RGD",15,1,0,26.47305,20.895,17.21336653661,20
"RGN",15,1,0,467.4114,352.08,326.240210513084,20
"CP-ALS",15,1,0.2,74.4487,62.6805,26.383709964374,20
"RGD",15,1,0.2,31.6894,21.121,23.6525369873264,20
"RGN",15,1,0.2,579.0426,405.607,435.54923799804,20
"CP-ALS",15,1,0.5,90.4969,64.5885,32.5868980224617,20
"RGD",15,1,0.5,45.8166,25.252,29.3333228623586,20
"RGN",15,1,0.5,827.65575,445.0815,561.727483048111,20
"CP-ALS",15,1,0.9,80.18865,62.35,30.0719279085032,20
"RGD",15,1,0.9,35.69515,19.735,26.7078843282673,20
"RGN",15,1,0.9,667.4597,378.5975,498.004166215515,20
