"Method","R_true","SD","Coherence","Mean_Time_s","SD_Time_s"
"RGD",10,1,0.5,12.4822,4.2015
"RGN",10,1,0.5,11.899,4.06
"CP-ALS",10,1,0.9,1.4929,0.8502
"ICO",10,1,0.9,33.1589,10.7921
"Orth-ALS",10,1,0.9,4.9543,2.6738
"RGD",10,1,0.9,12.2437,4.2412
"RGN",10,1,0.9,11.7056,4.0686
"CP-ALS",15,0,0,2.3452,1.2226
"ICO",15,0,0,53.2457,15.9026
"Orth-ALS",15,0,0,7.6792,3.5623
"RGD",15,0,0,19.4004,6.3783
"RGN",15,0,0,19.6571,6.4124
"CP-ALS",15,0,0.2,2.1698,1.077
"ICO",15,0,0.2,52.1925,16.5453
"Orth-ALS",15,0,0.2,7.398,3.6327
"RGD",15,0,0.2,18.5025,6.5144
"RGN",15,0,0.2,18.9354,6.5283
"CP-ALS",15,0,0.5,2.3093,1.2109
"ICO",15,0,0.5,52.6361,15.9843
"Orth-ALS",15,0,0.5,7.5254,3.6161
"RGD",15,0,0.5,19.4015,6.2883
"RGN",15,0,0.5,19.7324,6.2482
"CP-ALS",15,0,0.9,2.1775,1.1204
"ICO",15,0,0.9,51.8741,16.0265
"Orth-ALS",15,0,0.9,7.3174,3.5238
"RGD",15,0,0.9,19.3905,6.1457
"RGN",15,0,0.9,19.77,6.0981
"CP-ALS",15,0.5,0,2.0692,1.0597
"ICO",15,0.5,0,51.893,15.9414
"Orth-ALS",15,0.5,0,7.1712,3.4731
"RGD",15,0.5,0,18.6041,6.3457
"RGN",15,0.5,0,18.9092,6.3371
"CP-ALS",15,0.5,0.2,1.9723,1.017
"ICO",15,0.5,0.2,51.9167,16.3363
"Orth-ALS",15,0.5,0.2,7.1482,3.529
"RGD",15,0.5,0.2,19.0252,6.5647
"RGN",15,0.5,0.2,19.1175,6.2844
"CP-ALS",15,0.5,0.5,2.3074,1.2576
"ICO",15,0.5,0.5,52.0278,16.4086
"Orth-ALS",15,0.5,0.5,7.5209,3.7093
"RGD",15,0.5,0.5,19.0812,6.2348
"RGN",15,0.5,0.5,19.5377,6.5311
"CP-ALS",15,0.5,0.9,1.9699,1.1385
"ICO",15,0.5,0.9,48.7764,16.3912
"Orth-ALS",15,0.5,0.9,6.7901,3.6924
"RGD",15,0.5,0.9,18.2629,6.2725
"RGN",15,0.5,0.9,18.8083,6.3148
"CP-ALS",15,1,0,2.0421,1.1939
"ICO",15,1,0,49.8744,16.2863
"Orth-ALS",15,1,0,6.9802,3.7164
"RGD",15,1,0,18.1176,6.4451
"RGN",15,1,0,18.386,6.6013
"CP-ALS",15,1,0.2,1.9307,1.2193
"ICO",15,1,0.2,47.4982,16.7779
"Orth-ALS",15,1,0.2,6.5084,3.8397
"RGD",15,1,0.2,16.9742,6.1562
"RGN",15,1,0.2,17.2988,6.3747
"CP-ALS",15,1,0.5,2.1928,1.133
"ICO",15,1,0.5,51.9594,16.1744
"Orth-ALS",15,1,0.5,7.4034,3.6757
"RGD",15,1,0.5,18.8299,6.2663
"RGN",15,1,0.5,19.0225,6.2989
"CP-ALS",15,1,0.9,2.1721,1.2366
"ICO",15,1,0.9,51.7516,16.5071
"Orth-ALS",15,1,0.9,7.3892,3.6347
"RGD",15,1,0.9,18.5994,6.1603
"RGN",15,1,0.9,18.9864,6.1869
