"Method","Rank","Noise_SD","Coherence","Mean_RMSE","SD_RMSE","N_rep"
"MSPM",10,0.5,0.2,0.769708,0.070157,20
"RGD",10,0.5,0.5,0.099105,0.055325,20
"RGN",10,0.5,0.5,0.013563,0.009721,20
"CP-ALS",10,0.5,0.5,0.008003,0.004031,20
"Orth-ALS",10,0.5,0.5,0.614061,0.002688,20
"ICO",10,0.5,0.5,0.012352,0.003701,20
"MSPM",10,0.5,0.5,0.742727,0.077233,20
"RGD",10,0.5,0.9,0.028695,0.003757,20
"RGN",10,0.5,0.9,0.023155,0.002703,20
"CP-ALS",10,0.5,0.9,0.016387,0.001275,20
"Orth-ALS",10,0.5,0.9,0.330769,0.00412,20
"ICO",10,0.5,0.9,0.04694,0.004262,20
"MSPM",10,0.5,0.9,0.654319,0.03525,20
"RGD",10,1,0,0.014661,0.000151,20
"RGN",10,1,0,0.014661,0.000151,20
"CP-ALS",10,1,0,0.014508,0.000146,20
"Orth-ALS",10,1,0,0.014504,0.000146,20
"ICO",10,1,0,0.014504,0.000146,20
"MSPM",10,1,0,0.745638,0.055788,20
"RGD",10,1,0.2,0.015677,0.003449,20
"RGN",10,1,0.2,0.014575,2e-04,20
"CP-ALS",10,1,0.2,0.014432,0.000187,20
"Orth-ALS",10,1,0.2,0.085022,0.000424,20
"ICO",10,1,0.2,0.015529,0.000193,20
"MSPM",10,1,0.2,0.761978,0.059568,20
"RGD",10,1,0.5,0.081061,0.047779,20
"RGN",10,1,0.5,0.020003,0.009546,20
"CP-ALS",10,1,0.5,0.013927,0.002141,20
"Orth-ALS",10,1,0.5,0.613642,0.002354,20
"ICO",10,1,0.5,0.023686,0.00308,20
"MSPM",10,1,0.5,0.712443,0.072479,20
"RGD",10,1,0.9,0.028834,0.003699,20
"RGN",10,1,0.9,0.023337,0.002402,20
"CP-ALS",10,1,0.9,0.016807,0.001755,20
"Orth-ALS",10,1,0.9,0.329071,0.006544,20
"ICO",10,1,0.9,0.097133,0.005899,20
"MSPM",10,1,0.9,0.612557,0.034034,20
"RGD",15,0,0,1e-06,0,20
"RGN",15,0,0,0,0,20
"CP-ALS",15,0,0,0,0,20
"Orth-ALS",15,0,0,0,0,20
"ICO",15,0,0,0,0,20
"MSPM",15,0,0,0.851071,0.049515,20
"RGD",15,0,0.2,0.000122,4e-06,20
"RGN",15,0,0.2,0,0,20
"CP-ALS",15,0,0.2,0,0,20
"Orth-ALS",15,0,0.2,0.097735,0,20
"ICO",15,0,0.2,0,0,20
"MSPM",15,0,0.2,0.814046,0.041292,20
"RGD",15,0,0.5,0.171245,0.064324,20
"RGN",15,0,0.5,0.016457,0.001539,20
"CP-ALS",15,0,0.5,0.015149,7e-06,20
"Orth-ALS",15,0,0.5,0.594508,9e-06,20
"ICO",15,0,0.5,0,0,20
"MSPM",15,0,0.5,0.792723,0.05335,20
"RGD",15,0,0.9,0.02919,0.003,20
"RGN",15,0,0.9,0.02616,0.000788,20
"CP-ALS",15,0,0.9,0.01897,0.000171,20
"Orth-ALS",15,0,0.9,0.368662,0.000442,20
"ICO",15,0,0.9,0,0,20
"MSPM",15,0,0.9,0.767919,0.031523,20
"RGD",15,0.5,0,0.006268,6.9e-05,20
"RGN",15,0.5,0,0.006268,6.9e-05,20
"CP-ALS",15,0.5,0,0.006209,6.9e-05,20
"Orth-ALS",15,0.5,0,0.006208,6.9e-05,20
"ICO",15,0.5,0,0.006209,6.9e-05,20
"MSPM",15,0.5,0,0.827082,0.045632,20
"RGD",15,0.5,0.2,0.006213,7.7e-05,20
"RGN",15,0.5,0.2,0.006212,7.7e-05,20
"CP-ALS",15,0.5,0.2,0.006145,7.8e-05,20
"Orth-ALS",15,0.5,0.2,0.097873,0.000207,20
"ICO",15,0.5,0.2,0.006618,9.2e-05,20
"MSPM",15,0.5,0.2,0.824748,0.054828,20
"RGD",15,0.5,0.5,0.129792,0.046123,20
"RGN",15,0.5,0.5,0.029315,0.014114,20
